date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:03	263183/263183	---M-Z	200	added ('OK')	text/css	etag:W/%224040f-dHCwPAf2Q74zzCihYCU7W7EB2TA%22	https://cdn.jsdelivr.net/npm/uikit@3.2.2/dist/css/uikit.min.css	C:/Users/Designer/Desktop/Test%20Web/Test%20live/cdn.jsdelivr.net/npm/uikit@3.2.2/dist/css/uikit.min.css	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:03	1335/1335	---MCZ	200	added ('OK')	text/css	etag:W/%2269bc55d1-537%22	http://tb.lva-online.vip/bac1/css/grid.css	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/css/grid.css	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:04	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269bc55d1-12ae6%22	http://tb.lva-online.vip/font/fontawesome-webfont.eot?	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/font/fontawesome-webfontd41d.eot	(from http://tb.lva-online.vip/css/font-awesome.css)
14:08:07	63985/63985	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f9f1-EdMM151NCdLefWtbWCcz49io+dE%22	https://cdn.jsdelivr.net/npm/uikit@3.2.2/dist/js/uikit-icons.min.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/cdn.jsdelivr.net/npm/uikit@3.2.2/dist/js/uikit-icons.min.js	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:10	135054/135054	---M-Z	200	added ('OK')	application/javascript	etag:W/%2220f8e-zT2uweCkhqXPscPQNuffPfXZA8M%22	https://cdn.jsdelivr.net/npm/uikit@3.2.2/dist/js/uikit.min.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/cdn.jsdelivr.net/npm/uikit@3.2.2/dist/js/uikit.min.js	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:10	138012/138012	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269bc55d1-21b1c%22	http://tb.lva-online.vip/bac1/js/jsmpeg.min.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/js/jsmpeg.min.js	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:11	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac1/img/icon/red/b.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/img/icon/red/b.svg	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:11	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac1/img/icon/blue/p.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/img/icon/blue/p.svg	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:11	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac1/img/icon/dayanzai_${tanlu[0][0]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/img/icon/dayanzai_${tanlu[0][0]}.1f.delayed	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:11	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac1/img/icon/xiaolu_${tanlu[0][1]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/img/icon/xiaolu_${tanlu[0][1]}.svg	(from http://tb.lva-online.vip/bac1/tb1.html)
